id,hora_inicio,hora_fin,nota
34041,24 de mayo de 2021  13:56,24 de mayo de 2021  13:57,"50,00"
32965,24 de mayo de 2021  13:58,24 de mayo de 2021  13:58,"50,00"
15203,24 de mayo de 2021  14:10,24 de mayo de 2021  14:14,"25,00"
15203,24 de mayo de 2021  14:14,24 de mayo de 2021  14:17,"75,00"
24436,24 de mayo de 2021  14:19,24 de mayo de 2021  14:20,"75,00"
29915,24 de mayo de 2021  14:43,24 de mayo de 2021  14:45,"50,00"
33268,24 de mayo de 2021  15:23,24 de mayo de 2021  15:25,"75,00"
31329,24 de mayo de 2021  15:41,24 de mayo de 2021  15:44,"100,00"
32828,24 de mayo de 2021  15:48,24 de mayo de 2021  15:50,"75,00"
33870,24 de mayo de 2021  15:55,24 de mayo de 2021  15:55,"50,00"
32645,24 de mayo de 2021  16:10,31 de mayo de 2021  16:11,"0,00"
29462,24 de mayo de 2021  16:34,24 de mayo de 2021  17:10,"100,00"
32412,24 de mayo de 2021  19:20,24 de mayo de 2021  20:46,"75,00"
34274,24 de mayo de 2021  20:04,24 de mayo de 2021  20:06,"50,00"
33420,24 de mayo de 2021  22:09,24 de mayo de 2021  22:10,"50,00"
15295,24 de mayo de 2021  22:11,24 de mayo de 2021  22:12,"50,00"
28209,24 de mayo de 2021  22:27,24 de mayo de 2021  22:28,"100,00"
34903,24 de mayo de 2021  22:55,24 de mayo de 2021  22:56,"75,00"
34164,24 de mayo de 2021  23:00,24 de mayo de 2021  23:04,"100,00"
34206,24 de mayo de 2021  23:01,24 de mayo de 2021  23:07,"50,00"
33330,24 de mayo de 2021  23:15,24 de mayo de 2021  23:16,"75,00"
29846,24 de mayo de 2021  23:36,24 de mayo de 2021  23:41,"100,00"
12290,24 de mayo de 2021  23:40,24 de mayo de 2021  23:40,"100,00"
30465,24 de mayo de 2021  23:49,24 de mayo de 2021  23:49,"50,00"
32795,24 de mayo de 2021  23:56,24 de mayo de 2021  23:58,"75,00"
34459,25 de mayo de 2021  00:11,25 de mayo de 2021  00:16,"100,00"
32776,25 de mayo de 2021  00:50,28 de mayo de 2021  22:00,"25,00"
33301,25 de mayo de 2021  01:46,25 de mayo de 2021  01:46,"50,00"
35194,25 de mayo de 2021  08:43,25 de mayo de 2021  08:52,"75,00"
34952,25 de mayo de 2021  08:48,25 de mayo de 2021  08:49,"75,00"
34058,25 de mayo de 2021  09:02,25 de mayo de 2021  09:14,"100,00"
32315,25 de mayo de 2021  09:05,25 de mayo de 2021  09:07,"50,00"
34164,25 de mayo de 2021  11:15,25 de mayo de 2021  11:18,"75,00"
30104,25 de mayo de 2021  11:17,25 de mayo de 2021  11:21,"75,00"
34164,25 de mayo de 2021  11:19,25 de mayo de 2021  11:21,"50,00"
33283,25 de mayo de 2021  11:21,25 de mayo de 2021  12:10,"50,00"
34164,25 de mayo de 2021  11:22,25 de mayo de 2021  11:25,"50,00"
34164,25 de mayo de 2021  11:25,25 de mayo de 2021  11:30,"100,00"
29067,25 de mayo de 2021  12:34,25 de mayo de 2021  12:39,"75,00"
33556,25 de mayo de 2021  13:10,25 de mayo de 2021  13:11,"75,00"
29660,25 de mayo de 2021  14:29,25 de mayo de 2021  14:31,"100,00"
33739,25 de mayo de 2021  15:11,25 de mayo de 2021  15:11,"75,00"
32691,25 de mayo de 2021  15:20,25 de mayo de 2021  15:25,"100,00"
29232,25 de mayo de 2021  15:20,26 de mayo de 2021  10:20,"100,00"
15470,25 de mayo de 2021  15:51,25 de mayo de 2021  15:55,"25,00"
34442,25 de mayo de 2021  15:51,25 de mayo de 2021  15:54,"100,00"
15470,25 de mayo de 2021  15:58,25 de mayo de 2021  16:00,"75,00"
34612,25 de mayo de 2021  16:30,25 de mayo de 2021  16:32,"50,00"
32479,25 de mayo de 2021  16:46,25 de mayo de 2021  16:48,"100,00"
33692,25 de mayo de 2021  16:46,25 de mayo de 2021  16:49,"25,00"
29428,25 de mayo de 2021  17:22,25 de mayo de 2021  17:29,"50,00"
33640,25 de mayo de 2021  17:32,25 de mayo de 2021  17:49,"75,00"
26859,25 de mayo de 2021  17:37,25 de mayo de 2021  17:40,"75,00"
26859,25 de mayo de 2021  17:43,25 de mayo de 2021  17:47,"100,00"
34786,25 de mayo de 2021  17:46,25 de mayo de 2021  17:52,"100,00"
33640,25 de mayo de 2021  17:50,25 de mayo de 2021  17:57,"75,00"
34102,25 de mayo de 2021  18:00,25 de mayo de 2021  18:06,"25,00"
32061,25 de mayo de 2021  18:09,25 de mayo de 2021  18:11,"50,00"
34102,25 de mayo de 2021  18:10,25 de mayo de 2021  18:14,"75,00"
30628,25 de mayo de 2021  18:13,25 de mayo de 2021  18:14,"100,00"
26182,25 de mayo de 2021  18:29,25 de mayo de 2021  18:30,"25,00"
32737,25 de mayo de 2021  18:41,25 de mayo de 2021  18:44,"100,00"
26182,25 de mayo de 2021  18:47,25 de mayo de 2021  18:49,"75,00"
26182,25 de mayo de 2021  18:49,25 de mayo de 2021  18:51,"50,00"
32755,25 de mayo de 2021  18:51,25 de mayo de 2021  18:52,"50,00"
32755,25 de mayo de 2021  18:53,25 de mayo de 2021  18:55,"50,00"
32197,25 de mayo de 2021  19:14,25 de mayo de 2021  19:16,"75,00"
35237,25 de mayo de 2021  19:14,25 de mayo de 2021  19:47,"50,00"
33039,25 de mayo de 2021  19:19,25 de mayo de 2021  19:21,"75,00"
32216,25 de mayo de 2021  19:45,25 de mayo de 2021  19:50,"50,00"
26859,25 de mayo de 2021  19:46,25 de mayo de 2021  19:50,"50,00"
35073,25 de mayo de 2021  19:53,25 de mayo de 2021  19:54,"100,00"
33179,25 de mayo de 2021  19:55,25 de mayo de 2021  19:56,"75,00"
33961,25 de mayo de 2021  20:14,25 de mayo de 2021  20:18,"75,00"
27275,25 de mayo de 2021  20:55,25 de mayo de 2021  20:58,"75,00"
15204,25 de mayo de 2021  21:11,25 de mayo de 2021  21:24,"75,00"
32419,25 de mayo de 2021  21:14,25 de mayo de 2021  21:18,"75,00"
35564,25 de mayo de 2021  21:17,25 de mayo de 2021  21:21,"75,00"
34561,25 de mayo de 2021  21:34,25 de mayo de 2021  21:44,"75,00"
34001,25 de mayo de 2021  21:39,25 de mayo de 2021  21:41,"50,00"
34277,25 de mayo de 2021  21:39,25 de mayo de 2021  21:40,"75,00"
30139,25 de mayo de 2021  21:52,25 de mayo de 2021  21:52,"100,00"
30139,25 de mayo de 2021  21:53,25 de mayo de 2021  21:56,"75,00"
30575,25 de mayo de 2021  22:05,25 de mayo de 2021  22:07,"75,00"
32198,25 de mayo de 2021  22:08,25 de mayo de 2021  22:12,"100,00"
21822,25 de mayo de 2021  22:10,25 de mayo de 2021  22:14,"75,00"
21914,25 de mayo de 2021  22:10,25 de mayo de 2021  22:23,"75,00"
33592,25 de mayo de 2021  22:14,25 de mayo de 2021  22:27,"75,00"
21822,25 de mayo de 2021  22:15,1 de junio de 2021  22:20,"25,00"
34236,25 de mayo de 2021  22:43,25 de mayo de 2021  22:45,"0,00"
34236,25 de mayo de 2021  22:46,25 de mayo de 2021  22:47,"50,00"
29221,25 de mayo de 2021  22:55,25 de mayo de 2021  22:57,"75,00"
32391,25 de mayo de 2021  23:08,25 de mayo de 2021  23:15,"75,00"
34465,25 de mayo de 2021  23:17,25 de mayo de 2021  23:18,"50,00"
32860,25 de mayo de 2021  23:23,25 de mayo de 2021  23:24,"25,00"
27611,25 de mayo de 2021  23:25,25 de mayo de 2021  23:26,"25,00"
32475,25 de mayo de 2021  23:27,25 de mayo de 2021  23:30,"75,00"
34023,25 de mayo de 2021  23:38,25 de mayo de 2021  23:39,"50,00"
20588,26 de mayo de 2021  00:30,26 de mayo de 2021  00:36,"100,00"
32442,26 de mayo de 2021  00:34,26 de mayo de 2021  00:40,"100,00"
34402,26 de mayo de 2021  00:37,26 de mayo de 2021  01:04,"75,00"
33256,26 de mayo de 2021  01:01,26 de mayo de 2021  01:02,"100,00"
29233,26 de mayo de 2021  01:05,26 de mayo de 2021  01:08,"100,00"
34402,26 de mayo de 2021  01:06,28 de mayo de 2021  00:57,"75,00"
29233,26 de mayo de 2021  01:12,26 de mayo de 2021  01:13,"75,00"
